paper_id,title,authors,year,venue,doi_verified,url,publication_type,architectures,dataset,quantization_method,hardware,software_runtime,metrics,android_device_used,main_contribution,limitations,relevance,verification_status
P01,"Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference","Benoit Jacob; Skirmantas Kligys; Bo Chen; Menglong Zhu; Matthew Tang; Andrew Howard; Hartwig Adam; Dmitry Kalenichenko",2018,CVPR,,https://openaccess.thecvf.com/content_cvpr_2018/html/Jacob_Quantization_and_Training_CVPR_2018_paper.html,conference,"MobileNet; detection models","ImageNet; COCO","integer-only INT8; quantization-aware training","ARM CPUs","TensorFlow mobile inference","accuracy; latency",yes,"Foundational deployable integer-only quantization formulation","Older hardware/runtime; no current delegate or FP16/dynamic PTQ comparison",direct,verified_primary
P02,"MobileNetV2: Inverted Residuals and Linear Bottlenecks","Mark Sandler; Andrew Howard; Menglong Zhu; Andrey Zhmoginov; Liang-Chieh Chen",2018,CVPR,,https://openaccess.thecvf.com/content_cvpr_2018/html/Sandler_MobileNetV2_Inverted_Residuals_CVPR_2018_paper.html,conference,MobileNetV2,"ImageNet; COCO; PASCAL VOC",none,"mobile hardware","TensorFlow Lite/mobile runtimes","accuracy; MAdds; parameters; latency",yes,"Defines a standard lightweight CNN baseline and reports actual latency","Architecture paper rather than quantization/runtime selection",direct,verified_primary
P03,"AMC: AutoML for Model Compression and Acceleration on Mobile Devices","Yihui He; Ji Lin; Zhijian Liu; Hanrui Wang; Li-Jia Li; Song Han",2018,ECCV,,https://openaccess.thecvf.com/content_ECCV_2018/html/Yihui_He_AMC_Automated_Model_ECCV_2018_paper.html,conference,"VGG-16; MobileNet-V1",ImageNet,"automated pruning/compression","Google Pixel 1; Titan Xp",not_reported,"accuracy; FLOPs; latency",yes,"Optimizes compression and measures Android speedup","Pruning-centered; one older phone; no deployable PTQ mode comparison",related,verified_primary
P04,"AI Benchmark: Running Deep Neural Networks on Android Smartphones","Andrey Ignatov; Radu Timofte; William Chou; Ke Wang; Max Wu; Tim Hartley; Luc Van Gool",2018,arXiv,,https://arxiv.org/abs/1810.01109,preprint,"multiple mobile DNN workloads",multiple,"float and quantized workloads","Qualcomm; HiSilicon; MediaTek; Samsung mobile SoCs","Android frameworks; NNAPI","latency; throughput; device ranking",yes,"Broad real-smartphone benchmark and Android AI stack analysis","Older stack; per-trained-model precision selection is not its focus",direct,verified_preprint
P05,"HAQ: Hardware-Aware Automated Quantization With Mixed Precision","Kuan Wang; Zhijian Liu; Yujun Lin; Ji Lin; Song Han",2019,CVPR,,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_HAQ_Hardware-Aware_Automated_Quantization_With_Mixed_Precision_CVPR_2019_paper.html,conference,"MobileNet; ResNet",ImageNet,"RL mixed precision 1-8 bit","edge/cloud accelerator simulators",hardware_simulator,"accuracy; latency; energy; model size",no,"Selects per-layer bit widths using hardware feedback","Primarily simulator feedback; not Android TFLite configuration benchmarking",direct,verified_primary
P06,"HAWQ: Hessian Aware Quantization of Neural Networks With Mixed-Precision","Zhen Dong; Zhewei Yao; Amir Gholami; Michael W. Mahoney; Kurt Keutzer",2019,ICCV,,https://openaccess.thecvf.com/content_ICCV_2019/html/Dong_HAWQ_Hessian_AWare_Quantization_of_Neural_Networks_With_Mixed-Precision_ICCV_2019_paper.html,conference,"ResNet20; ResNet50; Inception-V3; SqueezeNext","CIFAR-10; ImageNet","Hessian-aware mixed precision",not_central,research_implementation,"accuracy; compression; size",no,"Automates layer precision using second-order sensitivity","Runtime/delegate effects are not central",related,verified_primary
P07,"Searching for MobileNetV3","Andrew Howard; Mark Sandler; Grace Chu; Liang-Chieh Chen; Bo Chen; Mingxing Tan; Weijun Wang; Yukun Zhu; Ruoming Pang; Vijay Vasudevan; Quoc V. Le; Hartwig Adam",2019,ICCV,,https://openaccess.thecvf.com/ICCV2019?day=2019-10-29,conference,"MobileNetV3-Small; MobileNetV3-Large","ImageNet; COCO; Cityscapes",none,"mobile CPU/accelerators","TensorFlow Lite","accuracy; latency; parameters; MAdds",yes,"Hardware-aware NAS plus NetAdapt produces widely used mobile CNNs","No systematic PTQ/runtime configuration comparison",direct,verified_primary
P08,"AI Benchmark: All About Deep Learning on Smartphones in 2019","Andrey Ignatov et al.",2019,arXiv,,https://arxiv.org/abs/1910.06663,preprint,"multiple mobile DNN workloads",multiple,"float and quantized workloads","Qualcomm; HiSilicon; Samsung; MediaTek; Unisoc SoCs","Android; NNAPI; vendor paths","latency; throughput; device comparison",yes,"Extends cross-SoC real-smartphone benchmarking","2019 ecosystem; no configuration recommender",direct,verified_preprint
P09,"HAWQ-V3: Dyadic Neural Network Quantization","Zhewei Yao; Zhen Dong; Zhangcheng Zheng; Amir Gholami; Jiali Yu; Eric Tan; Leyuan Wang; Qijing Huang; Yida Wang; Michael Mahoney; Kurt Keutzer",2021,ICML,,https://proceedings.mlr.press/v139/yao21a.html,conference,"ResNet18; ResNet50; InceptionV3",ImageNet,"integer-only mixed INT4/INT8; hardware-aware optimization","NVIDIA T4 GPU",TVM,"accuracy; latency; compression",no,"Removes hidden float operations and selects precision under hardware constraints","GPU/TVM rather than commodity Android/LiteRT",direct,verified_primary
P10,"nn-Meter: Towards Accurate Latency Prediction of Deep-Learning Model Inference on Diverse Edge Devices","Li Lyna Zhang; Shihao Han; Jianyu Wei; Ningxin Zheng; Ting Cao; Yuqing Yang; Yunxin Liu",2021,"ACM MobiSys",10.1145/3458864.3467882,https://github.com/microsoft/nn-Meter,conference,"26000 sampled models",synthetic_model_space,none,"Pixel 4 CPU; Mi 9 GPU; Pixel 3 XL GPU; Intel VPU","TFLite 2.1; OpenVINO","latency prediction accuracy",yes,"Kernel-level latency prediction across heterogeneous devices","Predicts latency rather than precision-quality trade-offs",direct,verified_primary_metadata
P11,"MLPerf Mobile Inference Benchmark: An Industry-Standard Open-Source Machine Learning Benchmark for On-Device AI","Vijay Janapa Reddi et al.",2022,MLSys,,https://proceedings.mlsys.org/paper_files/paper/2022/hash/a2b2702ea7e682c5ea2c20e8f71efb0c-Abstract.html,conference,"MobileNetEdgeTPU; SSD-MobileNet; MobileDet; DeepLab; MobileBERT","ImageNet; COCO; ADE20K; SQuAD","benchmark-defined numerics","multiple production mobile SoCs",vendor_and_reference_stacks,"latency; throughput; quality",yes,"Open governed mobile benchmark with transparent run rules","Not a selector among standard TFLite PTQ variants",direct,verified_primary
P12,"MobileViT: Light-weight General-purpose and Mobile-friendly Vision Transformer","Sachin Mehta; Mohammad Rastegari",2022,ICLR,,https://openreview.net/pdf?id=qUcX0Zn5ROG,conference,MobileViT,"ImageNet-1K; MS-COCO; segmentation datasets",none,mobile_device,Apple_research_stack,"accuracy; parameters; latency",yes_non_android,"Lightweight CNN-transformer architecture for mobile vision","No systematic quantization/delegate evaluation",direct,verified_primary
P13,"QDrop: Randomly Dropping Quantization for Extremely Low-bit Post-Training Quantization","Xiuying Wei; Ruihao Gong; Yuhang Li; Xianglong Liu; Fengwei Yu",2022,ICLR,,https://openreview.net/pdf?id=ySQH0oDyp7,conference,"multiple CNNs/transformers","ImageNet; downstream datasets","2-4 bit PTQ",not_central,MQBench,"task accuracy",no,"Improves very-low-bit PTQ reconstruction","Accuracy-focused; not standard mobile INT8 benchmarking",direct,verified_primary
P14,"PTQ4ViT: Post-Training Quantization for Vision Transformers with Twin Uniform Quantization","Zhihang Yuan; Chenhao Xue; Yiqi Chen; Qiang Wu; Guangyu Sun",2022,ECCV,,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/7856_ECCV_2022_paper.php,conference,"ViT; DeiT; Swin",ImageNet,"8-bit twin uniform PTQ; Hessian calibration",not_central,research_framework,"top-1 accuracy; calibration cost",no,"Near-lossless 8-bit PTQ for vision transformers","No commodity Android runtime comparison",direct,verified_primary
P15,"FQ-ViT: Post-Training Quantization for Fully Quantized Vision Transformer","Yang Lin; Tianyu Zhang; Peiqin Sun; Zheng Li; Shuchang Zhou",2022,IJCAI,10.24963/ijcai.2022/164,https://www.ijcai.org/proceedings/2022/164,conference,"ViT; DeiT; Swin","ImageNet; COCO","integer LayerNorm/softmax; 4/8-bit PTQ",not_central,research_implementation,"top-1; mAP; complexity",no,"Fully quantizes transformer nonlinear components","No Android LiteRT delegate comparison",direct,verified_primary
