result_id,source_file,experiment_id,raw_data_file,processing_script,date,device,model,quantization,runtime,status
dataset_grouped_split,reports/dataset_report.json,grouped_capture_session_v1_gap90_seed42,data/manifests_grouped/train.csv;data/manifests_grouped/validation.csv;data/manifests_grouped/test.csv,scripts/create_grouped_split.py;scripts/validate_dataset.py,2026-08-21,workstation,,,,reported
android_raw_audit,reports/final_benchmark_audit.json,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py,2026-08-22,realme_RMX3760_api35,,,,reported
locked_test_session,results/final/final_test_report.json,single_session_locked_test,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,,,,reported
model_efficientnet_b0_dynamic_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,efficientnet_b0,dynamic_int8,,reported
model_efficientnet_b0_float16,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,efficientnet_b0,float16,,reported
model_efficientnet_b0_float32,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,efficientnet_b0,float32,,reported
model_efficientnet_b0_full_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,efficientnet_b0,full_int8,,reported
model_mobilenet_v2_dynamic_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v2,dynamic_int8,,reported
model_mobilenet_v2_float16,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v2,float16,,reported
model_mobilenet_v2_float32,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v2,float32,,reported
model_mobilenet_v2_full_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v2,full_int8,,reported
model_mobilenet_v3_small_dynamic_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v3_small,dynamic_int8,,reported
model_mobilenet_v3_small_float16,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v3_small,float16,,reported
model_mobilenet_v3_small_float32,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v3_small,float32,,reported
model_mobilenet_v3_small_full_int8,results/final/table_model_results.csv,locked_test_and_frozen_validation,results/final/final_test_predictions.csv,scripts/evaluate_final_test.py;scripts/analyze_final_results.py,2026-08-22,NVIDIA_GTX_1650_Keras_and_builtin_CPU_TFLite,mobilenet_v3_small,full_int8,,reported
config_efficientnet_b0_dynamic_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,builtin_cpu/1t,reported
config_efficientnet_b0_dynamic_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,builtin_cpu/2t,reported
config_efficientnet_b0_dynamic_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,builtin_cpu/4t,reported
config_efficientnet_b0_dynamic_int8__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,xnnpack_cpu/1t,reported
config_efficientnet_b0_dynamic_int8__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,xnnpack_cpu/2t,reported
config_efficientnet_b0_dynamic_int8__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,dynamic_int8,xnnpack_cpu/4t,reported
config_efficientnet_b0_float16__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,builtin_cpu/1t,reported
config_efficientnet_b0_float16__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,builtin_cpu/2t,reported
config_efficientnet_b0_float16__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,builtin_cpu/4t,reported
config_efficientnet_b0_float16__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,xnnpack_cpu/1t,reported
config_efficientnet_b0_float16__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,efficientnet_b0,float16,xnnpack_cpu/2t,reported
