configuration_id,architecture,quantization,runtime,threads,trial_median_mean_ms,trial_median_sd_ms,trial_median_cv,trial_median_bootstrap95_low_ms,trial_median_bootstrap95_high_ms,trial_p95_mean_ms,trial_p95_sd_ms,trial_p95_bootstrap95_low_ms,trial_p95_bootstrap95_high_ms,trial_throughput_mean_images_per_s,trial_throughput_sd_images_per_s,observation_count
efficientnet_b0_dynamic_int8__builtin_cpu__1t,efficientnet_b0,dynamic_int8,builtin_cpu,1,462.6965,2.130512731715051,0.0046045576997341,461.19,464.203,479.561125,3.184349323056447,477.30945,481.8128,2.164692118650065,0.0031400311014303,200
efficientnet_b0_dynamic_int8__builtin_cpu__2t,efficientnet_b0,dynamic_int8,builtin_cpu,2,457.03475,3.6575098256874266,0.0080026952560771,454.4485,459.621,477.75995,4.458449676737429,474.60735,480.91255,2.186213785286551,0.0158437351447221,200
efficientnet_b0_dynamic_int8__builtin_cpu__4t,efficientnet_b0,dynamic_int8,builtin_cpu,4,458.03825,1.4909346481317898,0.0032550439796933,456.984,459.0925,485.57315,8.773922362318894,479.36905,491.77725,2.1719490580954286,0.0087659266594063,200
efficientnet_b0_dynamic_int8__xnnpack_cpu__1t,efficientnet_b0,dynamic_int8,xnnpack_cpu,1,440.36825,6.506443047088024,0.0147750048898575,435.7675,444.969,463.097625,11.516612789846274,454.95415,471.2411,2.26853192619122,0.0342422641495263,200
efficientnet_b0_dynamic_int8__xnnpack_cpu__2t,efficientnet_b0,dynamic_int8,xnnpack_cpu,2,445.70975,5.925908379733849,0.0132954425603968,441.5195,449.9,461.89715,2.6875714539337765,459.99675,463.79755,2.252535041807432,0.0278342803560623,200
efficientnet_b0_dynamic_int8__xnnpack_cpu__4t,efficientnet_b0,dynamic_int8,xnnpack_cpu,4,445.99475,1.7483215164837165,0.0039200495442686,444.7585,447.231,468.042475,1.155377125119698,467.2255,468.8594499999999,2.2396741422422783,0.0107373712916657,200
efficientnet_b0_float16__builtin_cpu__1t,efficientnet_b0,float16,builtin_cpu,1,497.9035,3.4535095193151086,0.0069361021147975,495.4615,500.3455,523.9300250000001,2.436442480595428,522.2072000000001,525.6528500000001,2.0070537698411743,0.0127950977390424,200
efficientnet_b0_float16__builtin_cpu__2t,efficientnet_b0,float16,builtin_cpu,2,509.65275,7.600337237583631,0.014912775880408,504.2785,515.027,661.7831249999999,187.5199453998993,529.1865,794.37975,1.9107137936990013,0.1003126143802221,200
efficientnet_b0_float16__builtin_cpu__4t,efficientnet_b0,float16,builtin_cpu,4,486.01125,2.564322741973029,0.0052762621070459,484.198,487.8245,507.8344,10.923526977126013,500.1103,515.5585,2.0590160251175256,0.020307872364606,200
efficientnet_b0_float16__xnnpack_cpu__1t,efficientnet_b0,float16,xnnpack_cpu,1,456.39225,3.451034645580933,0.0075615540044357,453.952,458.8325,481.94845,15.023332094445616,471.32535,492.57155,2.182482796149926,0.0276613367939518,200
