configuration_id,architecture,quantization,runtime,threads,process_pss_median_mb,process_rss_median_mb,battery_temperature_min_c,battery_temperature_max_c
efficientnet_b0_dynamic_int8__builtin_cpu__1t,efficientnet_b0,dynamic_int8,builtin_cpu,1,548.65771484375,541.1376953125,43.8,46.1
efficientnet_b0_dynamic_int8__builtin_cpu__2t,efficientnet_b0,dynamic_int8,builtin_cpu,2,658.74365234375,578.3056640625,41.1,44.0
efficientnet_b0_dynamic_int8__builtin_cpu__4t,efficientnet_b0,dynamic_int8,builtin_cpu,4,494.091796875,423.5078125,43.1,44.0
efficientnet_b0_dynamic_int8__xnnpack_cpu__1t,efficientnet_b0,dynamic_int8,xnnpack_cpu,1,627.798828125,498.8076171875,43.9,45.8
efficientnet_b0_dynamic_int8__xnnpack_cpu__2t,efficientnet_b0,dynamic_int8,xnnpack_cpu,2,400.42578125,480.15234375,42.4,43.9
efficientnet_b0_dynamic_int8__xnnpack_cpu__4t,efficientnet_b0,dynamic_int8,xnnpack_cpu,4,540.299560546875,529.4365234375,44.0,45.8
efficientnet_b0_float16__builtin_cpu__1t,efficientnet_b0,float16,builtin_cpu,1,576.833251953125,499.5341796875,43.9,45.2
efficientnet_b0_float16__builtin_cpu__2t,efficientnet_b0,float16,builtin_cpu,2,659.06298828125,628.875,41.5,43.9
efficientnet_b0_float16__builtin_cpu__4t,efficientnet_b0,float16,builtin_cpu,4,472.60595703125,499.2646484375,43.4,44.9
efficientnet_b0_float16__xnnpack_cpu__1t,efficientnet_b0,float16,xnnpack_cpu,1,530.30615234375,539.5791015625,43.8,45.7
efficientnet_b0_float16__xnnpack_cpu__2t,efficientnet_b0,float16,xnnpack_cpu,2,620.877197265625,617.310546875,42.0,43.8
efficientnet_b0_float16__xnnpack_cpu__4t,efficientnet_b0,float16,xnnpack_cpu,4,475.912109375,501.6943359375,43.6,44.9
efficientnet_b0_float32__builtin_cpu__1t,efficientnet_b0,float32,builtin_cpu,1,578.8935546875,550.7353515625,44.2,46.1
efficientnet_b0_float32__builtin_cpu__2t,efficientnet_b0,float32,builtin_cpu,2,530.7998046875,572.931640625,43.1,45.6
efficientnet_b0_float32__builtin_cpu__4t,efficientnet_b0,float32,builtin_cpu,4,572.075439453125,562.318359375,43.8,45.8
efficientnet_b0_float32__xnnpack_cpu__1t,efficientnet_b0,float32,xnnpack_cpu,1,557.15234375,569.4423828125,43.7,44.9
efficientnet_b0_float32__xnnpack_cpu__2t,efficientnet_b0,float32,xnnpack_cpu,2,648.6259765625,615.30078125,43.8,44.2
efficientnet_b0_float32__xnnpack_cpu__4t,efficientnet_b0,float32,xnnpack_cpu,4,626.4482421875,498.4189453125,43.9,45.7
efficientnet_b0_full_int8__builtin_cpu__1t,efficientnet_b0,full_int8,builtin_cpu,1,474.7080078125,465.7744140625,43.8,44.2
efficientnet_b0_full_int8__builtin_cpu__2t,efficientnet_b0,full_int8,builtin_cpu,2,407.144287109375,457.9697265625,42.5,45.4
efficientnet_b0_full_int8__builtin_cpu__4t,efficientnet_b0,full_int8,builtin_cpu,4,456.64990234375,474.6875,43.9,45.5
efficientnet_b0_full_int8__xnnpack_cpu__1t,efficientnet_b0,full_int8,xnnpack_cpu,1,593.7734375,579.890625,41.4,43.9
efficientnet_b0_full_int8__xnnpack_cpu__2t,efficientnet_b0,full_int8,xnnpack_cpu,2,672.140869140625,522.11328125,41.8,44.7
efficientnet_b0_full_int8__xnnpack_cpu__4t,efficientnet_b0,full_int8,xnnpack_cpu,4,595.83935546875,467.953125,44.7,46.1
mobilenet_v2_dynamic_int8__builtin_cpu__1t,mobilenet_v2,dynamic_int8,builtin_cpu,1,528.255859375,459.36328125,44.0,44.4
mobilenet_v2_dynamic_int8__builtin_cpu__2t,mobilenet_v2,dynamic_int8,builtin_cpu,2,637.966796875,557.4228515625,43.8,44.0
mobilenet_v2_dynamic_int8__builtin_cpu__4t,mobilenet_v2,dynamic_int8,builtin_cpu,4,633.9384765625,597.2744140625,42.3,44.0
mobilenet_v2_dynamic_int8__xnnpack_cpu__1t,mobilenet_v2,dynamic_int8,xnnpack_cpu,1,644.015380859375,600.9296875,41.1,44.1
mobilenet_v2_dynamic_int8__xnnpack_cpu__2t,mobilenet_v2,dynamic_int8,xnnpack_cpu,2,511.593505859375,509.2255859375,43.8,45.6
mobilenet_v2_dynamic_int8__xnnpack_cpu__4t,mobilenet_v2,dynamic_int8,xnnpack_cpu,4,627.0517578125,544.1376953125,43.8,45.1
mobilenet_v2_float16__builtin_cpu__1t,mobilenet_v2,float16,builtin_cpu,1,513.24365234375,491.7841796875,44.0,45.0
mobilenet_v2_float16__builtin_cpu__2t,mobilenet_v2,float16,builtin_cpu,2,596.03076171875,524.1787109375,44.0,45.8
mobilenet_v2_float16__builtin_cpu__4t,mobilenet_v2,float16,builtin_cpu,4,673.591064453125,538.4931640625,44.0,44.2
mobilenet_v2_float16__xnnpack_cpu__1t,mobilenet_v2,float16,xnnpack_cpu,1,602.1484375,588.3798828125,42.1,43.9
mobilenet_v2_float16__xnnpack_cpu__2t,mobilenet_v2,float16,xnnpack_cpu,2,457.291015625,506.505859375,43.1,45.6
mobilenet_v2_float16__xnnpack_cpu__4t,mobilenet_v2,float16,xnnpack_cpu,4,517.4189453125,513.423828125,43.9,45.8
mobilenet_v2_float32__builtin_cpu__1t,mobilenet_v2,float32,builtin_cpu,1,585.02392578125,460.8779296875,43.9,45.5
mobilenet_v2_float32__builtin_cpu__2t,mobilenet_v2,float32,builtin_cpu,2,398.032958984375,448.498046875,42.6,43.5
mobilenet_v2_float32__builtin_cpu__4t,mobilenet_v2,float32,builtin_cpu,4,599.9599609375,585.9140625,43.0,43.8
mobilenet_v2_float32__xnnpack_cpu__1t,mobilenet_v2,float32,xnnpack_cpu,1,507.8564453125,438.7236328125,43.1,44.0
mobilenet_v2_float32__xnnpack_cpu__2t,mobilenet_v2,float32,xnnpack_cpu,2,420.855712890625,448.197265625,43.2,44.2
mobilenet_v2_float32__xnnpack_cpu__4t,mobilenet_v2,float32,xnnpack_cpu,4,429.81103515625,455.2509765625,43.5,43.9
mobilenet_v2_full_int8__builtin_cpu__1t,mobilenet_v2,full_int8,builtin_cpu,1,572.68359375,554.5576171875,44.0,45.4
mobilenet_v2_full_int8__builtin_cpu__2t,mobilenet_v2,full_int8,builtin_cpu,2,615.61083984375,582.7099609375,42.3,44.0
mobilenet_v2_full_int8__builtin_cpu__4t,mobilenet_v2,full_int8,builtin_cpu,4,468.34716796875,467.3818359375,43.8,44.9
mobilenet_v2_full_int8__xnnpack_cpu__1t,mobilenet_v2,full_int8,xnnpack_cpu,1,544.154296875,473.158203125,43.9,45.8
mobilenet_v2_full_int8__xnnpack_cpu__2t,mobilenet_v2,full_int8,xnnpack_cpu,2,468.42431640625,488.419921875,43.5,46.1
mobilenet_v2_full_int8__xnnpack_cpu__4t,mobilenet_v2,full_int8,xnnpack_cpu,4,664.4443359375,529.7470703125,43.7,43.9
mobilenet_v3_small_dynamic_int8__builtin_cpu__1t,mobilenet_v3_small,dynamic_int8,builtin_cpu,1,554.4140625,484.8408203125,43.9,45.6
mobilenet_v3_small_dynamic_int8__builtin_cpu__2t,mobilenet_v3_small,dynamic_int8,builtin_cpu,2,397.88623046875,424.775390625,43.4,43.9
mobilenet_v3_small_dynamic_int8__builtin_cpu__4t,mobilenet_v3_small,dynamic_int8,builtin_cpu,4,434.0361328125,510.96484375,42.4,45.8
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__1t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,1,535.4033203125,465.8017578125,44.1,45.5
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__2t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,2,532.27490234375,500.07421875,44.0,45.5
