architecture,quantization,model_sha256,artifact_size_bytes,artifact_size_mb,selection_validation_accuracy,selection_validation_top1_agreement,accuracy,macro_precision,macro_recall,macro_f1,top1_agreement_with_keras,test_artifact_sha256,compression_percent_vs_float32,any_configuration_pareto_median,any_configuration_pareto_p95
efficientnet_b0,dynamic_int8,9d69d6ea033bbb5181ebf3fb5abb873a8c4407262e32f3bf25bf6bbe411052c9,4592176,4.3794403076171875,0.7972587093089663,0.9568817818389491,0.8149100257069408,0.7689464953203852,0.8463847932262625,0.7967618833635844,0.9571550985432733,9d69d6ea033bbb5181ebf3fb5abb873a8c4407262e32f3bf25bf6bbe411052c9,71.50383020508016,False,False
efficientnet_b0,float16,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,8165448,7.787178039550781,0.7986864648772131,0.997430039977156,0.8251928020565553,0.7771722396589149,0.8577772482871082,0.8089239421875463,0.9994287346472437,8b487a2559093bb4a7f986aa93665bf5c61d27c44c836376ec46bebc84d1bc8c,49.33034085375026,False,False
efficientnet_b0,float32,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,16115064,15.368522644042969,0.797829811536265,1.0,0.8254784347329335,0.7773802858605656,0.8582988966960807,0.8093055530206615,1.0,4e7bf575be33b6f10e45f58a6f5b2aa4ac03b48b6e5b563369fa98b03d95d03a,0.0,False,False
efficientnet_b0,full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,4953200,4.7237396240234375,0.7141633352370075,0.7441462021701885,0.7086546700942588,0.692476917445151,0.6519125904246574,0.6409795218518748,0.7457869180234219,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,69.26354124314989,False,False
mobilenet_v2,dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,2545400,2.4274826049804688,0.8326670474014849,0.9663049685893775,0.8389031705227078,0.8134508901717584,0.8275618527369899,0.8134745121664857,0.9745786918023421,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,71.52101966698814,True,True
mobilenet_v2,float16,801130c48bc49023dd5481bab243c5909309bb5630b0b1d4594ca5ef1ab954dd,4537556,4.327350616455078,0.8398058252427184,0.9951456310679612,0.8429020279920023,0.8125786972481774,0.8365305194238616,0.818354915619977,0.9965724078834619,801130c48bc49023dd5481bab243c5909309bb5630b0b1d4594ca5ef1ab954dd,49.2319603661743,True,True
mobilenet_v2,float32,bec15e3963d46e241acd9c906831107e97b4c00b81c895257a4321545dcd738d,8937820,8.52376937866211,0.8406624785836665,1.0,0.8443301913738932,0.8147799751750339,0.8382126451784015,0.8205103832424243,1.0,bec15e3963d46e241acd9c906831107e97b4c00b81c895257a4321545dcd738d,0.0,True,True
mobilenet_v2,full_int8,0b1cdd47d0b7d94504c62d7160b431a69814006e3132b126ddc5b5bc97a4246d,2748320,2.621002197265625,0.826956025128498,0.933466590519703,0.8406169665809768,0.8158985183058883,0.8342687544768734,0.8180017684658398,0.9465866895172808,0b1cdd47d0b7d94504c62d7160b431a69814006e3132b126ddc5b5bc97a4246d,69.2506673886921,True,True
mobilenet_v3_small,dynamic_int8,1c3ca9e08ab14de0d8e7ca58f127b9955ae2cf3e9ffaad5033952bcbb51dd82f,1144288,1.091278076171875,0.7535693889206168,0.8737864077669902,0.7763496143958869,0.712677374152068,0.7982251553507389,0.7482221315264849,0.887460725506998,1c3ca9e08ab14de0d8e7ca58f127b9955ae2cf3e9ffaad5033952bcbb51dd82f,69.74796669729884,True,True
mobilenet_v3_small,float16,201167c633c4c8714d7c84905e88fe159d76e9eff38c91b70708b1ced5a8bb00,1967356,1.8762168884277344,0.7398629354654483,0.9951456310679612,0.7632105112824907,0.694732845577966,0.8318685066384597,0.7478988805042079,0.9945729791488146,201167c633c4c8714d7c84905e88fe159d76e9eff38c91b70708b1ced5a8bb00,47.98816449157122,True,False
mobilenet_v3_small,float32,cf6183dcd31c9ec34724e8f68d15423dc09b0cf71b1e91ba37800321b7526ba4,3782516,3.607288360595703,0.7384351798972016,1.0,0.7634961439588689,0.6949484789662034,0.8314431943344902,0.7478994115042714,1.0,cf6183dcd31c9ec34724e8f68d15423dc09b0cf71b1e91ba37800321b7526ba4,0.0,False,False
mobilenet_v3_small,full_int8,7eb4e5feb3ad6a7ffe9c7d81f9f7b78d520a334323c091aaddccb8859c84991b,1252008,1.1940078735351562,0.5588235294117647,0.5062821245002855,0.5392744930019995,0.4856469430657474,0.3044060198508627,0.29882891959702623,0.5075692659240217,7eb4e5feb3ad6a7ffe9c7d81f9f7b78d520a334323c091aaddccb8859c84991b,66.90012679391177,True,True
