architecture,runtime,threads,trial_a,trial_b,configuration_count,spearman_rank_correlation
efficientnet_b0,builtin_cpu,1,1,2,4,0.7999999999999999
efficientnet_b0,builtin_cpu,2,1,2,4,0.7999999999999999
efficientnet_b0,builtin_cpu,4,1,2,4,0.7999999999999999
efficientnet_b0,xnnpack_cpu,1,1,2,4,1.0
efficientnet_b0,xnnpack_cpu,2,1,2,4,0.7999999999999999
efficientnet_b0,xnnpack_cpu,4,1,2,4,0.7999999999999999
mobilenet_v2,builtin_cpu,1,1,2,4,1.0
mobilenet_v2,builtin_cpu,2,1,2,4,1.0
mobilenet_v2,builtin_cpu,4,1,2,4,1.0
mobilenet_v2,xnnpack_cpu,1,1,2,4,1.0
mobilenet_v2,xnnpack_cpu,2,1,2,4,0.39999999999999997
mobilenet_v2,xnnpack_cpu,4,1,2,4,0.7999999999999999
mobilenet_v3_small,builtin_cpu,1,1,2,4,1.0
mobilenet_v3_small,builtin_cpu,2,1,2,4,1.0
mobilenet_v3_small,builtin_cpu,4,1,2,4,0.7999999999999999
mobilenet_v3_small,xnnpack_cpu,1,1,2,3,1.0
mobilenet_v3_small,xnnpack_cpu,2,1,2,3,-1.0
mobilenet_v3_small,xnnpack_cpu,4,1,2,3,1.0
